textid	volume	formula	form	comment
36	2	no	perfect	
41	2	no	perfect	
2	2	no	particle	
7	2	no	particle	
32	2	no	particle	
5	1	no	perfect	
8	1	no	perfect	
16	1	no	perfect	
19	1	no	perfect	
33	1	no	perfect	
49	1	no	perfect	
60	1	no	perfect	
124	1	no	perfect	
140	1	no	perfect	
141	1	no	perfect	
142	1	no	perfect	
7	1	no	particle	
20	1	no	particle	
36	1	no	particle	
63	1	no	particle	
77	1	no	particle	
83	1	no	particle	
123	1	no	particle	
125	1	no	particle	
138	1	no	particle	
2	3	no	perfect	
14	3	no	perfect	
55	3	no	perfect	
72	3	no	perfect	
93	3	no	perfect	
17	3	no	particle	
33	3	no	particle	
42	3	no	particle	
44	3	no	particle	
45	3	no	particle	
60	3	no	particle	
89	3	no	particle	
90	3	no	particle	
110	3	no	particle	
123	3	no	particle	
13	4	no	perfect	
21	4	no	perfect	
23	4	no	perfect	
42	4	no	perfect	
44	4	no	perfect	
45	4	no	perfect	
54	4	no	perfect	
55	4	no	perfect	
65	4	no	perfect	
70	4	no	perfect	
75	4	no	perfect	
94	4	no	perfect	
96	4	no	perfect	
98	4	no	perfect	
101	4	no	perfect	
107	4	no	perfect	
108	4	no	perfect	
116	4	no	perfect	
143	4	no	perfect	
144	4	no	perfect	
162	4	no	perfect	
7	4	no	particle	
39	4	no	particle	
40	4	no	particle	
60	4	no	particle	
62	4	no	particle	
63	4	no	particle	
115	4	no	particle	
135	4	no	particle	
138	4	no	particle	
141	4	no	particle	
142	4	no	particle	
171	4	no	particle	only the first line, then perfect
11	2	yes	particle	
19	2	yes	particle	
23	2	yes	particle	
26	2	yes	particle	
64	2	yes	particle	
70	2	yes	particle	
13	1	yes	particle	
84	1	yes	particle	
1	3	yes	particle	
7	3	yes	particle	
28	3	yes	particle	
56	3	yes	particle	
96	3	yes	particle	
20	4	other	other	
57	4	other	other	
67	4	other	other	combined strategy
95	4	other	other	
168	4	no	perfect	
